Nº RNC	DESENHO	MP	REVISÃO	POS	CV	EQUIPAMENTO	CONJUNTO	MODELO	DESCRIÇÃO DO DESENHO	QUANTIDADE	CLIENTE	MATERIAL	ORDEM DE COMPRA	RESPONSÁVEL	INSPETOR	DATA EMISSÃO	ÁREA RESPONSÁVEL	SETOR	DESCRIÇÃO DA RNC	INSTRUÇÃO PARA RETRABALHO	CAUSA DA RNC	JUSTIFICATIVA	VALOR
33549	P38401H8201G007				041.891	Rolo guia feltro	Mancal 22311CCK	1118	Corpo do mancal lado fixo	01	Sengés			Silvio Moreira	Ronaldo	28-Jan-25	Produção	Usinagem Plana	"Mancal na vista B-B pede rosca M5 para isolamento de canal de lubrificação, porem foi feito rosca M6."	Alterar desenho de conjunto para parafuso M6 para montagem.			R$ 100.00
33550	P38401H8201G009				041.891	Rolo guia feltro	Mancal 22311CCK		Corpo mancal lado livre	01	Sengés			Silvio Moreira	Ronaldo	28-Jan-25	Produção	Usinagem Plana	"Mancal na vista B-B pede rosca M5 para isolamento de canal de lubrificação, porem foi feito rosca M6."	Alterado desenho de conjunto para rosca M6 para montagem.			R$ 100.00
33551	P09102M7001R006	1			041.015	Rebobinadeira	Mancais rolo pressor		Porca de regulagem	01	Tedesco	Bronze SAE65		Antony	Ronaldo	28-Jan-25	Produção	Usin. Cilíndrica Convencional	Derrubou a peça causando amassado.	Retrabalhar para reutilizar.			R$ 100.00
33552	P23901L3901C001		1		040.858	Enroladeira / desenroladeira	Rolo estanga		Rolo 1	01	Klingele	SAE1045		Diogo	Ronaldo	28-Jan-25	Engenharia		Ponteira existente não veio indicação de ajustagem no Ø115mm conforme labirintos enviados com medida Ø110mm.	Revisar.	Erro.		R$ 100.00
33553	P33501M7002C057		0		041.015	Rebobinadeira	Módulo de corte		Suporte macnal LA	01	Tedesco	SAE1020		Eduardo Horne	Ronaldo	29-Jan-25	Produção	Usinagem Plana	Mancal possui medida usinada de 155mm tolerada do centro da peça na lateral do mancal.	Refazer usinagem na face que está bruta.			R$ 100.00
33554	P333501M7002C013				041.015	Rebobinadeira	Módulo de corte		Suporte rolo guia segmentado  superior	02	Tedesco	SAE1020		Eduardo Horne	Ronaldo	29-Jan-25	Produção	Usinagem Plana	"Mancal possui medida tolerada em 100mm em uma das face, a que não foi feita."	Usinar a face da base do mancal que possui tolerância.			R$ 100.00
335556	D00400M1306G003		2	"1, 2, 3 e 4"	041.297	Bloco 37	Calha barracão		Perfil dobrado	02	Ippel	Galvanizado		Thiago	Ronaldo	29-Jan-25	Engenharia		"Alteração na espessura da chapa nas posições 1, 2, 3 e 4."	Revisão.			R$ 100.00
33557	D0040M1306G004		2		041.297	Bloco 37	Calhas barração		Dutos dobrado calhas	01	Ippel	Galvanizado		Thiago	Ronaldo	29-Jan-25	Engenharia		Alteração largura final do perfil de 160mm para 170mm.	Revisar desenho.			R$ 100.00
33558	D00400M1306G006		1	"1, 2 e 3"	041.297	Bloco 37	Calhas barracão		Curva superior dobrada	15	Ippel	Galvanizada		Thiago	Ronaldo	29-Jan-25	Engenharia		Alterado medida interna de 200mm para 170mm.	Revisão.			R$ 100.00
33559	D00400M1306G001		1		041.297	bloco 37	Calhas barracão		Layout montagem	01	Ippel			Thiago	Ronaldo	29-Jan-25	Engenharia		"Alteração do projeto, espessura calhas, instalação outros de maneira interna."	Revisão.			R$ 100.00
33560	P00000A0305G001				041.275	Caixa de entrada	Atuador mecânico ATF 3T	2642	Carcaça de inox	02	Vinhedos	AISI304L		Alan	Ronaldo	29-Jan-25	Qualidade		Ausência de todas as medidas sendo necessário voltar a peça para usinagem após liberado pela qualidade.		Falta de atenção nas conferências.	"Roteiro de conferência com ""tikagem"" das medidas e anotação em desenho conferido."	R$ 100.00
33561	P33501M7002C013		0		041.015	Rebobinadeira	Módulo de corte		Suporte rolo guia segmentado superior	02	Tedesco	SAE1020		Alan	Ronaldo	29-Jan-25	Qualidade		Não foi feito leitura correta da peça onde indicava usinagem do pé do mancal.	Corrigir.	Erro de leitura e interpretação de desenho.	Roteiro de conferência e dar OK com anotação nas medidas.	R$ 100.00
33562	P44103M7001T000		1		041.956	Rebobinadeira	Rolo suportes		Cilindro traseiro	01	Valinhos			Matheus de Souza Silva	Ronaldo	30-Jan-25	Engenharia		Melhoria do canal de lubrificação da ponteira LA.	Conforme R1.			R$ 100.00
33565	P33501L4601G001		2		041.015	Enroladeira	Montagem NR12		NR12 - Enroladeira	01	Tedesco			Luiz Guilherme Souza	Ronaldo	30-Jan-25	Engenharia		"Alterações nas posições 7, 10, 13, 24, 25, 29 e 41."	Conforme R2.			R$ 100.00
33566	P18604I4601V005		1		041.015	Enroladeira	Montagem proteções perimetrais		Chapa base 1	01	Tedesco	SAE1020		Luiz Guilherme Souza	Ronaldo	30-Jan-25	Engenharia		Adicionado mais três unidades de base.	Conforme revisão.			R$ 100.00
33567	P33501L4601V008		1		041.015	Enroladeira	Chumbador quimico		Barra roscada M10x150mm	120	Tedesco			Luiz Guilherme Souza	Ronaldo	30-Jan-25	Engenharia		Alteração de 120peças para 132 peças.	Conforme R1.			R$ 100.00
33568	P33501L4601V007		1		041.015	Enroladeira	Montagem NR12		Chumabdor químico injetavel	120	Tedesco			Luiz Guilherme Souza	Ronaldo	30-Jan-25	Engenharia		Alteração de quantidade de 120 para 132 unidades.	Conforme R1.	Erro.		R$ 100.00
33569	P33501L2201R005		1		041.015	Desenroaldeira	Engate rápido		Tampa anel de movimento	01	Tedesco	SAE1020		José Israel	Ronaldo	30-Jan-25	Engenharia		"Desenho indica fabricação de 1 peça, sendo o correto duas."	Revisão do desenho e corte de outra nova peça.	Erro.		R$ 100.00
33570	P32408M7001X007		2		041.015	Fixador de tubetes	Pontas rotativas mod.1 e 2		Tampa interna	04	Tedesco	SAE1020		Luiz Guilherme Souza	Ronaldo	30-Jan-25	Engenharia		"Encosto para o rolamento com 2,5mm profundidade, o que pressiona a gaiola do rolamento travando-o."	Revisão do desenho e usinagem das peças conforme R1.			R$ 100.00
33572	P33501M7002X024		1		041.015	Rebobinadeira	Montagem fixador de tubetes		Suporte cabos 02 LC / LA	02	Tedesco	SAE1020		Luiz Guilherme Souza	Ronaldo	30-Jan-25	Engenharia		"Alteração de centro de cotas de furação de 15mm para 9,5mm."	Conforme R1.			R$ 100.00
33577	P03600A0012G035				041.267	Dinamic coater	Dispositivo mecânico de pressão		Pinhão Z=24 mod2	01	B.O Paper	SAE4340		Vagner da Silva	Ronaldo	30-Jan-25	Engenharia		Peça que foi para frezar e faltou material.	Nova.			R$ 100.00
33578	P03600A0012G022				041.267	Dinamic coater	Dispositivo mecânico de pressão		Pinhão Z=24 mod 1.	01	B.O Paper	SAE4340		Vagner da Silva	Ronaldo	30-Jan-25	Engenharia		Peça que foi para frezar e faltou material.	Nova.			R$ 100.00
33579	P03600A0012G034				041.267	Dinamic coater	Coroa Z=36		Dispositivo mecânico de pressão	01	B.O Paper	SAE4340		Vagner da Silva	Ronaldo	30-Jan-25	Engenharia		Peça que foi para fresar e faltou material.	Nova.			R$ 100.00
33581	P03803B0202G001	3			041.901	Agitador massa	Rotativo		Gaxeteiro	01	Bragagnolo			Douglas	Ronaldo	01-Feb-25	Produção	Usin. Cilíndrica Convencional	"Descrição pede Ø260mm (-0,10) e ficou com Ø260mm (-0,27)."	Corrigir.			R$ 100.00
33582	P03600A0012G011				041.267	Dinamic coater	Dispositivo mecânico		Tampa externa	02	B.O Paper	SAE1020		Vagner da Silva	Ronaldo	01-Feb-25	Engenharia		A peça que vai a tampa está com a mesma medida da tampa impedindo a montagem.	Corrigir.		Idem RNC33584	R$ 100.00
33584	P3600A0026010				041.267	Dinamic coater	Dispositivo mecânico		Tampa externa	02	B.O Paper	SAE1020		Vagner da Silva	Ronaldo	01-Feb-25	Engenharia		A peça que vai montada a tampa está na mesma medida da tampa impedindo a montagem.	Corrigir.	Erro.		R$ 100.00
33585	P21201L3901M002	1			041.747	Rolo estanga	Mancal LA / LC	MI 2348	Corpo do mancal	01	Jaepel			Fundição Campos Gerais	Ronaldo	01-Feb-25	Terceiros		Peça não deu limpeza porosidade falha de fundição.	Recuperar.			R$ 100.00
33586	P03600A0012G040			010	041.267	Dinamic coater	Dispositivo pressão da lamina		Dispositivo mecânico de pressão da lâmina	01	B.O Paper			Edson Antonio Alves	Ronaldo	03-Feb-25	Produção	Montagem	Montou o rolamento invertido.	Novo.			R$ 100.00
33588	P33501M7002R018		1		041.015	Rebobinadeira	Rolo pressor		Sup. LC trava de segurança	01	Tedesco	SAE1020		José Israel	Ronaldo	03-Feb-25	Engenharia		"Desenho indica duas cores, creme RAL1015 e laranja RAL2000."	Pintura somente creme RAL1015.	Erro.		R$ 100.00
33589	P33501M7002X003		1	6	041.015	Rebobinadeira	Cursor fixador de tubetes		Carro cursor	01	Tedesco	SAE1020		Luiz Guilherme Souza	Ronaldo	04-Feb-25	Engenharia		"Olhal de fixação do garfo do cilindro pneumático feito com furo Ø19mm, porem pino  do garfo possui 20mm."	Repassar furação do carro para Ø20mm.	Erro.		R$ 100.00
33590	P33501M7002X014		1		041.015	Rebobinadeira	Limitador fixador de tubetes		Carro cursor	01	Tedesco	SAE1020		Luiz Guilherme Souza	Ronaldo	04-Feb-25	Engenharia		Olhal de fixação do garfo do cilindro pneumático feito com Ø19mm porem o pino do garfo possui Ø20mm.	Repassar furação do carro para Ø20mm.			R$ 100.00
33591	P38401L3201M006		0		042.006	Enroladeira	Mancal		Espaçador do rolamento	02	Sengés	SAE1020		Lucimar de Jesus  de Azevedo	Ronaldo	04-Feb-25	Produção	Corte	"Cortado material com 2""x3/8"" onde o correto é 2.1/2"" x 3/8""."	Novo.	Erro.		R$ 100.00
33592	P33501M7002X000		1		041.015	Rebobinadeira	Montagem		Montagem do fixadores de tubetes	01	Tedesco			Luiz Guilherme Souza	Ronaldo	04-Feb-25	Engenharia		"Rosca para fixação posição 1 incorreta, substituição da posição 12 e alteração quantidade posição 13."	Conforme R1.			R$ 100.00
33593	P33501M7002X001		1		041.015	Rebobinadeira	Fixador tubetes		Suporte cilindro pneumático	02	Tedesco	SAE1020		Luiz Guilherme Souza	Ronaldo	04-Feb-25	Engenharia		Rosca de fixação na estrutura M10.	Conforme R1.			R$ 100.00
33594	P33501L2201R005		2		041.015	Desenroladeira	Engate rápido		Tampa do anel de movimento	02	Tedesco	SAE1020		José Israel	Ronaldo	04-Feb-25	Engenharia		"Representação indica 6 furações de Ø21x Ø15mm, porém indicação no desenho na cota do diâmetro da furação Ø250mm pede 8 furos."	Revisão.	Erro.		R$ 100.00
33595	P18703K1901G031		1		030.314	Sistema de passagem de ponta	Estabilizador de folha		Estabilizador de folha Nº 2	01	Incopa	AISI304L		José Israel	Ronaldo	04-Feb-25	Engenharia		"Alteração de quantidade da posição 2 de 1 para 3 peças e alterado chapa de 2260mm para 708,3mm para fazer calandragem na Ippel."	Conforme R1.			R$ 100.00
33596	P18703K1901G017		1		030.314	Sistema de passagem de ponta	Estabilziador de folha		Estabilizador de folha Nº1	01	Incopa	Inox 304L		José Israel	Ronaldo	04-Feb-25	Engenharia		"Alterada a quantidade da posição 1 de 1 para 3 peças, alterado a chapa de 2260 para 753,33mm para calandragem  na Ippel."	Conforme R1.			R$ 100.00
33597	P33501L3202R000		1		020.406	Enroladeira papéis	Montagem		Conjunto braços de espera	01	Tedesco			Cintia das Graças Kosiba	Ronaldo	04-Feb-25	Engenharia		"Acrescentado posição 4, 7, 10 e 12."	Conforme R1.	Idem RNC 33603.		R$ 100.00
33598	P33501L3202R007		1		020.406	Enroladeira	Braço de espera		Suporte berço	01	Tedesco			Cintia das Graças Kosiba	Ronaldo	04-Feb-25	Engenharia		"Acrescentado altura do centro até a face superior, incluido buchas de bronze e acrescentado posição 4 e 5."	Conforme R1.			R$ 100.00
33599	P33501L4601P004	01			041.015	Enroladeira papéis	Montagem proteções perimetrais		Portão 1700 x 2000	06	Tedesco	SAE1020		Nelson Luiz Ferreira	Ronaldo	05-Feb-25	Produção	Usinagem Plana	Inverteu o lado da traçagem.	Corrigir.			R$ 100.00
33600	P33501L3202R012				020.406	Enroladeira	Braço de espera		Suporte sensor papéis	02	Tedesco	SAE1020		Cintia das Graças Kosiba	Ronaldo	04-Feb-25	Engenharia		Alterado quantidade de 01 para 02 peças.	Conforme R1.	Alteração.		R$ 100.00
33601	P33501L3202R009		1		020.406	Enroladeira papeis	Braço espera		Jumelo cilindro hidráulico	02	Tedesco	SAE1020		Cintia das Graças Kosiba	Ronaldo	04-Feb-25	Engenharia		"Alterado altura do jumelo e profundidade do rebaixo de Ø26,5mm."	Conforme R1.			R$ 100.00
33602	P33501L3202R006		1		020.406	Enroladeira Papéis	Braço espera		Corpo superior lado acionamento	01	Tedesco	SAE1020		Cintia das Graças Kosiba	Ronaldo	04-Feb-25	Engenharia		Acrescentado roscas M12 para apoio estanga.	Conforme R1.	Idem RNC33603		R$ 100.00
33603	P33501L3202R003		1		020.406	Enroladeira	Braço espera		Copro superior externo lado comando	01	Tedesco	SAE1020		Cintia das Graças Kosiba	Ronaldo	04-Feb-25	Engenharia		Acrescentado roscas M12 para fixação apoio da estanga.	Conforme R1.			R$ 100.00
33604	P33501M7002X009		1		041.015	Fixador de tubetes	Ponta rotativa mod. 1 e 2		Corpo da ponta rotativa	04	Tedesco	SAE1020		Luiz Guilherme Souza	Ronaldo	04-Feb-25	Engenharia		"Encaixe do porta tubetes de 3"" está com diâmetro bruto de Ø68mm o porta tubete está com diâmetro tolerado e não dá o encaixe livre para colocação e remoção do porta tubete."	Revisão do desenho e ajustagem de peça já pronta.	Não foi colocado tolerância no desenho.		R$ 100.00
33605	P73GAM2844	3	1		050.133	Pós secagem raspa fixa	Alteração raspa fixa inferior		Eixo lado comando	02	Valinhos	SAE1020		Cida	Ronaldo	05-Feb-25	Engenharia		Ausência de indicação de pintura.	"Considerar pintura na usinagem bruta, tinta PU verde martelado."			R$ 100.00
33606	P73GAM2841	3	1		050.133	Pós secagem raspa fixa	Alteraçaõ raspa fixa inferior		Eixo lado acionamento	02	Valinhos	SAE1045		Cida	Ronaldo	05-Feb-25	Engenharia		Ausencia da indicação de pintura.	"Considerar pintura na usiangem bruta, tinta PU verde martelado."			R$ 100.00
33607	P03501L2201R013		0		041.507	Desenroladeira	Montagem		Engate rápido	01	B.O Paper			Josivaldo Valdevino da Silva	Ronaldo	05-Feb-25	Produção	Pintura	"Feito pintura do acoplamento macho, onde indicava a não pintura."	Remover pintura para entrega.			R$ 100.00
33608	P33501L2201R009	1	0		041.015	Desenroladeira	Engate rápido		Bucha do anel de movimento	02	Tedesco	SAE65		Vinicius	Ronaldo	05-Feb-25	Produção	Usin. Cilíndrica CNC	"Ajuste de 50mm pede tolerado negativo e ficou com +0,27mm, ajuste de 13,5mm tolerado  porem medidas ficaram a menor 13,24 e 13,22mm e 11,40mm."	Ajustar conforme desenho.			R$ 364.00
33609	P05902M7001S003		1		041.015	Rebobinadeira	Passador superior		Cavalete do cilindro puxador	02	Tedesco	SAE1020		José Israel	Ronaldo	05-Feb-25	Engenharia		Indicado pintura em verde RAL6011 onde correto é creme RAL1015.	Pintar com a cor correta.			R$ 100.00
33610	P33501M7002S025	1	1		041.015	Rebobinadeira	Passagem de ponta		Chapa base	01	Tedesco	SAE1020		Matheus Tocantins	Ronaldo	05-Feb-25	Engenharia		"Indicado pintura em creme RAL1013, sendo correto creme RAL1015."	Revisão do deseho e pintura correta.			R$ 100.00
33612	P333501D2002M002		1		041.015	Depurador vertical	Mancal		Encosto rolamento superior	02	Tedesco	SAE1020		Cintia das Graças Kosiba	Ronaldo	05-Feb-25	Engenharia		"Cortar peça com bedame e fazer canal gotejador nas duas peças,"	Conforme R1.			R$ 100.00
33614	P44103M7001C006		1		050.174	Rebobinadeira	Rolo guia segmentado superior		Mancal central superior	01	Valinhos	SAE1020		José Israel	Ronaldo	05-Feb-25	Engenharia		Alterado desenho enviado para produção com medida 180 pois a peça do cliente estava com medida 227mm.	Conforme revisão.			R$ 100.00
33617	P28101M7001S030	1	0		041.015	Rebobinadeira	Raspador superior		Travessa espera correia	03	Tedesco	SAE1020		Antony	Ronaldo	05-Feb-25	Produção	Usin. Cilíndrica Convencional	Ao repassar as roscas M12 foi danificada a pintura.	Refazer pintura.			R$ 100.00
33618	P03600A0012G021		0		041.267	Dinamic coater	Dispositivo pressão lâmina		Espaçador dos rolamentos	02	B.O Paper	SAE1020		Claudio Bettega	Ronaldo	05-Feb-26	Produção	Usin. Cilíndrica Convencional	"Espaçador ovalizado com medidas de 7, 18mm á 7,70mm."	Cortar duas novas peças e reusinar.			R$ 100.00
33619	P28202D2003G011	2			041.932	Depurador vertical	Rotor		Manutenção corpo	01	Novacki	AISI304L		Douglas	Ronaldo	06-Feb-25	Produção	Usin. Cilíndrica Convencional	Usinagem do cone ficou errada.	Encher e reusinar.			R$ 100.00
33620	P09102M7001R015				041.016	Rebobinadeira	Rolo pressor		Motoreduotr SEW SAF37	01	Tedesco			SEW	Ronaldo	06-Feb-25	Terceiros		Motoredutor veio com a caixa eletrica do lado errado.	Trocar.			R$ 100.00
33621	P33501D2002M000		3	24	041.015	Depurador vertical	Montagem		Conjunto mancal	02	Tedesco			Cintia das Graças Kosiba	Ronaldo	06-Feb-25	Engenharia		Oring Ø6mm ficou grande não dando encosto com o suporte do selo mecânico e o corpo do mancal.	"Utilizar oring Ø3,5mm cordão."	Alteração.		R$ 100.00
33622	P33201H3403G002		1		041.153	Amplaição setor prensas	Estrutura		Viga 02 LA	01	Placibras	AISI304L		Vagner da Silva	Ronaldo	06-Feb-25	Engenharia		Alteração das dimensões do item 16.	Conforme R2.	Alteração do projeto.		R$ 100.00
33623	P33201H3403G015		1		041.153	Ampliação setor prensas	Estrutura		Viga 03 LC	01	Placibras	AISI304L		Vagner da Silva	Ronaldo	06-Feb-25	Engenharia		Alteração das dimensões do item 16.	Conforme R1.	Idem RNC 33622.		R$ 100.00
33624	P33201N3403G012		1	4	041.153	Ampliação setor prensas	Estrutura		Viga 01 LC	01	Placibras	AISI304L		Vagner da Silva	Ronaldo	06-Feb-25	Engenharia		Alteração das dimensões do item 4.	Conforme R1.			R$ 100.00
33625	P33201H3403G008		1		041.153	Amplaição setor prensas	Estrutura		Viga 01 LA	01	Placibras	AISI304L		Vagner da Silva	Ronaldo	06-Feb-25	Engenharia		Alteração das dimensões do item 4.	Conforme R1.			R$ 100.00
33626	P33201H3403G013		1		041.153	Ampliação setor prensas	Estrutura		Viga 02 LC	01	Placibras	AISI304L		Vagner da Silva	Ronaldo	06-Feb-25	Engenharia		Alteração das dimensões do item 16.	Conforme R1.			R$ 100.00
33627	P37801C01C0101R003		1		041.861	Depurador megasorter	Rotativo		Corpo do rotor superior	01	HP	AISI304L		Nelson Luiz Ferreira	Ronaldo	06-Feb-25	Produção	Usinagem Plana	Traçagem da peça 12 ficou com 30mm para centro da furação pois retirou referência da cota errada.	Encher e refazer o processo.	Encher solda e refazer processo.		R$ 123.72
33629	P33501M7002K001				041.015	Rebobinadeira	Rolo contra faca		Cilindro	01	Tedesco			Cintia das Graças Kosiba	Ronaldo	07-Feb-25	Engenharia		"Alteração da descrição do item 14, estava com mola tipo L e o correto é mola tipo U."	Conforme R1.			R$ 100.00
33630	P335001L7501D004	1			041.015	Reposicionador estanga	Braço de elevação		Travessa estanga	01	Tedesco	SAE1020		Alisson Rabi	Ronaldo	07-Feb-25	Produção	Usin. Cilíndrica Convencional	Ajuste do diâmetro de 60mm ficou maior.	Encher de solda e refazer usinagem.			R$ 435.95
33632	P33501L2201R002	1			041.015	Desenroladeira	Engate rápido		Suporte direito do braço articulado	01	Tedesco	SAE1020		Murilo de Oliveira Vale	Ronaldo	07-Feb-25	Produção	Usinagem Plana	"Desenho pede usinagem na base do suporte lado interno o que não foi feito, assim aumentando o espaço entre os suportes em 8mm."	Cortar novos pinos.			R$ 100.00
33633	P33501L2201R001				041.015	Desenrolador	Engate rápido		Suporte esquerdo braço articulado	01	Tedesco	SAE1020		Murilo de Oliveira Vale	Ronaldo	07-Feb-25	Produção	Usinagem Plana	"Desenho pede usinagem na base do suporte lado interno, o que não foi feito, assim aumentando o espaço entre os suportes em 8mm."	Cortar novo pinos para compensar diferença.			R$ 100.00
33634	P38401I5701M003	1			041.024	Cilindro acabador	Mancal 22234	MI 2623	Tampa externa LA	01	Sengés			Carlos Henrique da Silva	Ronaldo	07-Feb-25	Produção	Usin. Cilíndrica CNC	Erro de programa para traçagem e furação.	Corrigir.			R$ 100.00
33635	P33201H6202R003		0		041.153	Segunda prensa	Rolo Ø1200x2800	2665	Ponteira LA	02	Placibras			Luciano José Carneiro Stella	Ronaldo	07-Feb-25	Produção	Usin. Cilíndrica CNC	Não programado raio de 4mm.	Reusinar.			R$ 100.00
33636	0033.03-01.01.012				050.086	Caixa de entrada	Geral		Flange Ø325mm	01	Lubeck			Alisson	Ronaldo	07-Feb-25	Produção	Usin. Cilíndrica CNC	"Usinagem de furo com Ø24mm (-0,17) operador deixou com decimal."	Encher e refazer processo.			R$ 440.37
33637	P33201H6202R002	1			041.153	Segunda prensa	Rolo Ø1200x2800	2665	Ponteira LC	02	Placibras			Luciano José Carneiro Stella	Ronaldo	07-Feb-25	Produção	Usin. Cilíndrica CNC	Não programado raio de 4mm.	Reusinar.			R$ 100.00
33638	P32407F2001C014	7	1	5	041.622	Depurador vertical	Carcaça		Corpo inferior	01	Paraibuna			Cintia das Graças Kosiba	Ronaldo	07-Feb-25	Engenharia		"Alteração detalhe ""A"" e revisado peça da posição 5."	Conforme R1.			R$ 100.00
33639	P32407F2001C003		1		041.622	Depurador vertical	Corpo infeiror		Depurador vertical	01	Paraibuna	AISI304L		Isabely Barbosa	Ronaldo	07-Feb-25	Engenharia		"Diâmetro externo difere da camisa, camisa com Ø1184mm e flange com 1200mm."	Revisar desenho.			R$ 100.00
33640	P03601E002R008				050.014	Refiandor de discos Voith	Acionanamento		Flange	01	B.O Paper	SAE1020		Gabriel	Ronaldo	07-Feb-25	Produção	Usin. Cilíndrica Convencional	Furo central pede diâmetro de 82mm e ficou com 80mm.	Ajustar e deixar na medida correta.			R$ 100.00
33641	P03600A0012G007				041.267	Dinamic coater	Dispositivo mecânico		Flange de regulagem de folga	01	B.O Paper	SAE1020		Vagner da Silva	Ronaldo	08-Feb-25	Engenharia		"Usinagem do Ø35mm x 3mm, abrir roscas M6 conforme indicada."	Corrigir.			R$ 100.00
33642	P000008A4406F001	1			041.015	Rolo pressor	Cilindro hidráulico haste Ø36mm		Cabeçote traseiro	02	Tedesco	SAE1020		Ricardo Mauda	Ronaldo	08-Feb-25	Engenharia		Indicação errada na rosca no passe.	Corrigir e revisar.			R$ 100.00
33643	P00003A4406F004				041.015	Rolo pressor	Cilindro hidráulico haste Ø36mm		Cabeçote dianteiro	02	Tedesco	SAE1020		Ricardo Mauda	Ronaldo	08-Jan-25	Engenharia		"Indicação errada no passe da rosca, 1/2"" BSP 17FPP."	"Revisar e corrigir, considerar 14 FPP"	Erro.		R$ 100.00
33644	P38401I8401C004	1			041.725	Cilindro secador STA1500	Cilindro	1309	Ponteira LA	01	Sengés	SAE1030		Spilrod	Ronaldo	10-Feb-25	Terceiros		Ponteira apresentou falta de material durante pré usinagem.	Encher com solda e reusinar.			R$ 374.95
33645	P33201H6202C00		1		041.153	Setor prensas	Prensa umida		Conjunto calha rolo inferior	01	Placibras			Ricardo Mauda	Ronaldo	10-Feb-25	Engenharia		Alteração lado de montagem das peças 1 e 2.	Conforme R1.			R$ 100.00
33646	P33501L7501E022	1			041.015	Reposicionador de estanga	Estrutura		Trilho 2 LA	01	Tedesco			Leonel Joselei da Silva	Ronaldo	10-Feb-25	Produção	Usinagem Plana	"Descrição do desenho pede Ø158,7mm e ficou com Ø160mm."	Encher e usinar.			R$ 435.95
33648	P28202C2001R002				050.169	Depurador HR36	Depurador		Manutenção rotor	01	Novacki			Cicero	Ronaldo	11-Feb-25	Produção	Usin. Cilíndrica Convencional	"Cone da medida de 99,5mm para 76,6mm ficando final do cone na usinagem com Ø77,6mm."	Encher e reusinar.			R$ 583.00
33649	P44103G6801G006			2	050.227	Pichasso	Manutenção		Proteção do ventilador	01	Valinhos	AISI304L		Cintia das Graças Kosiba	Ronaldo	11-Feb-25	Engenharia		"Desenho pede flange em aço carbono, porem corpo da proteção é am aço inox."	Cortar flange em aço inox.			R$ 100.00
33650	P44203G6801G006			2	050.227	Pichasso	Manutenção pichasso		Proteção ventilador	01	Valinhos	AISI304L		João Vitor Pucci	Ronaldo	11-Feb-25	Engenharia		Alteração de material da peça 2 e acabamento alterado para jatear.	Cornforme R2.			R$ 100.00
33651	P33501L2201F009				041.015	Desenroladeira	Freio		Ponteira entalhada	01	Tedesco	SAE1020		José Assis	Ronaldo	11-Feb-25	Produção	Usin. Cilíndrica Convencional	"Concetricidade da peça está fora 0,2mm."	Encher com dolda e reusinar.			R$ 387.64
33652	P18604L7501L006	1	1		041.015	Reposicionador estanga	Braço alimentador		Suporte articulado 2	02	Tedesco	SAE1020		Alisson Moises	Ronaldo	11-Feb-25	Produção	Caldeiraria de Carbono	"Chapa da posição 2 pede com 1"" e foi colocada de 7/8""."	Manter a chapa e utilizar como está.			R$ 100.00
33653	P18604L7501L006	1	1		041.015	Reposicionador estangas	Braço alimentador		Suporte articulado	02	Tedesco	SAE1020		Luiz Wanderlei de Oliveira	Ronaldo	11-Feb-25	Produção	Corte	"Cortado chapa 7/8"" para a posição 2 porém o desenho indica chapa 1""."	Utilizar suporte como está.			R$ 100.00
33654	P03600A0012G014				041.267	Dinamic coater	Dispositivo pressão lâmina		Mancal rolamentos axiais	01	B.O Paper			Vagner da Silva	Ronaldo	11-Feb-25	Engenharia		"Inclusão de duas roscas M5 para travamento da porca, indicação cliente."	Conforme revisão.			R$ 100.00
33655	P32407F2001C029	7			041.622	Depurador vertical	Carcaça		Base	01	Paraibuna	SAE1020		Isabely Barbosa	Ronaldo	12-Feb-25	Engenharia		Detalhe da peça 1 pede 423mm e na vista superior pede 323.	Corrigir.			R$ 100.00
33656	P33501L3202T020				041.015	Enroladeira de papeis	Amortecedor de bobinas		Suporte 2 LA de cilindro pneumático	01	Tedesco	SAE1020		Ronival Anauri Ferraz	Ronaldo	12-Feb-25	Produção	Usin. Cilíndrica CNC	Centro de furação do encaixe do cilindro fora de centro em 3mm.	Encher com solda e reusinar.			R$ 689.90
33657	P33501M7002S030			30	041.015	Rebobinadeira	Passagem de ponta		Conjunto passador de ponta	01	Tedesco			Cintia das Graças Kosiba	Ronaldo	12-Feb-25	Engenharia		Parafusos da posição 30 M6x25 ficou maior na fixação do suporte do cilindro.	Trocar de parafusos.			R$ 100.00
33658	D0040M1306G001		2		041.297	Bloco 37	Calhas		Calhas barracão	02	Ippel			Thiago	Ronaldo	12-Feb-25	Engenharia		"Alteração na quantidade dos itens de fixação, adição de sobra nos itens de fixação."	Conforme R1.			R$ 100.00
33659	D2062400302-01/01.002				050.129	Caixa de entrada inferior	Caixa de entrada		Usinagem estrutura A	01	Lubeck	AISI304		Ezequias da Silva Oliveira	Ronaldo	12-Feb-25	Produção	Usinagem Plana	"Ao executar rosca M20, correu ferramenta encavalando a rosca."	Encher e refazer roscas.			R$ 123.66
33660	P00000A4501V004				041.648	Válvula penumática IVP07	Montagem	MF11	Tampa traseira externa	100	Ippel	Bronze		SPS	Ronaldo	10-Feb-25	Terceiros		"Reprovado 41 peças por coloração divergente, batidas diversas e falhas na fundição."	Substituir peças.			R$ 100.00
33661	P00000A4501V006				041.648	Válvula externa dianteira	Montagem	MF12	Tampa externa dianteira	100	Ippel	Bronze		SPS	Ronaldo	10-Feb-25	Terceiros		Reprovado 29 peças por falhas na fundição.				R$ 100.00
